BirdID,Year,TrackID,track_type,SegmentID,date,u,v,u_se,v_se,x_se,y_se,s,s_se,time,dply_cl,age,sex,trckn__,DateTime,lon,lat,Island_Atoll,Island,Group,Atoll,Rtts_rt,Sula_sl,TtlAllS,PointID,DateTime_local,Date_local,nauticalDawn_local,nauticalDusk_local,day_night,at_island,label,visit_number,VisitID,night_visit,at_sea,label_atsea,track_number,cpf,return_prospect,first_prospect,prospect,Deploy.DateTime.GMT,dist,track_start_col,track_end_col,track_start_DateTime,track_end_DateTime,track_start_Lat,track_start_Lon,tot_dist,geometry_GPS,geometry_CP,CPdist
GY02215,2022,NA,NA,GY02215_2022_1,2022-02-10,-5.434e-12,4.874e-12,1e-5,1e-5,9.999999999e-6,9.999999997e-6,0,NA,06:00:00,Diego Garcia,Immature Basic 2,M,33,2022-02-10T06:00:00Z,72.45299999999996,-7.247999999999987,Diego Garcia_Diego Garcia,Diego Garcia,Diego Garcia,Diego Garcia,P,8068,8748,1,2022-02-10T06:00:00Z,2022-02-10,2022-02-10T00:28:04Z,2022-02-10T14:23:30Z,day,TRUE,single,1,GY02215_2022_1,FALSE,NA,NA,NA,FALSE,FALSE,TRUE,TRUE,2022-02-10T05:18:00Z,NA,NA,NA,NA,NA,NA,NA,NA,"c(8065431.06644505, -809004.254142102)","c(8065431.06644505, -809004.254142102)",0
GY02215,2022,NA,NA,GY02215_2022_1,2022-02-10,-1.28825943873e-4,1.9568713813e-5,0.044623641523528,0.042269741316516,0.063109608441729,0.05978036793766,1.120956212479301,NA,10:00:00,Diego Garcia,Immature Basic 2,M,33,2022-02-10T10:00:00Z,72.41916950662403,-7.2261697109579535,East Island_Diego Garcia,East Island,Diego Garcia,Diego Garcia,A,1113,1205,2,2022-02-10T10:00:00Z,2022-02-10,2022-02-10T00:28:13Z,2022-02-10T14:23:37Z,day,TRUE,first,2,GY02215_2022_2,FALSE,NA,NA,NA,FALSE,FALSE,TRUE,TRUE,2022-02-10T05:18:00Z,NA,NA,NA,NA,NA,NA,NA,NA,"c(8061665.07314915, -806554.601997609)","c(8061665.07314915, -806554.601997609)",0
GY02215,2022,NA,NA,GY02215_2022_1,2022-02-10,-1.38467243819555,0.149866878946932,2.626521473910115,2.569754033458848,0.063093400730804,0.059766395629627,0.004745175326238,NA,14:00:00,Diego Garcia,Immature Basic 2,M,33,2022-02-10T14:00:00Z,72.41918359440942,-7.226000017779674,East Island_Diego Garcia,East Island,Diego Garcia,Diego Garcia,A,1113,1205,3,2022-02-10T14:00:00Z,2022-02-10,2022-02-10T00:28:13Z,2022-02-10T14:23:37Z,day,TRUE,last,2,GY02215_2022_2,FALSE,NA,NA,NA,FALSE,FALSE,TRUE,TRUE,2022-02-10T05:18:00Z,NA,NA,NA,NA,NA,NA,NA,NA,"c(8061666.64139425, -806535.560603874)","c(8061666.64139425, -806535.560603874)",0
GY02215,2022,NA,NA,GY02215_2022_1,2022-02-10,-0.448112534794555,-0.056763641013194,5.739199509693941,5.727182898816498,5.623671674885551,5.598038735596655,0.197135230018905,NA,18:00:00,Diego Garcia,Immature Basic 2,M,33,2022-02-10T18:00:00Z,72.41211743447532,-7.226496050938844,Middle Island_Diego Garcia,Middle Island,Diego Garcia,Diego Garcia,A,520,563,4,2022-02-10T18:00:00Z,2022-02-11,2022-02-11T00:28:32Z,2022-02-11T14:23:24Z,night,TRUE,single,3,GY02215_2022_3,TRUE,NA,NA,NA,FALSE,FALSE,TRUE,TRUE,2022-02-10T05:18:00Z,NA,NA,NA,NA,NA,NA,NA,NA,"c(8060880.04006852, -806591.220861968)","c(8060880.04006852, -806591.220861968)",0
GY02215,2022,NA,NA,GY02215_2022_1,2022-02-10,0.222328640529303,0.210830274685911,8.29506695647055,8.240345292132691,35.19077501104825,34.94991654642885,0.306573314905391,NA,22:00:00,Diego Garcia,Immature Basic 2,M,33,2022-02-10T22:00:00Z,72.42010628317138,-7.218930631596176,East Island_Diego Garcia,East Island,Diego Garcia,Diego Garcia,A,1113,1205,5,2022-02-10T22:00:00Z,2022-02-11,2022-02-11T00:28:30Z,2022-02-11T14:23:22Z,night,TRUE,single,4,GY02215_2022_4,TRUE,NA,NA,NA,FALSE,TRUE,FALSE,TRUE,2022-02-10T05:18:00Z,NA,NA,NA,NA,NA,NA,NA,NA,"c(8061769.35463739, -805742.306041106)","c(8061769.35463739, -805742.306041106)",0
GY02215,2022,GY02215_2022_1,CPF,GY02215_2022_1,2022-02-11,0.51325814277313,0.296684009991931,7.309424118716688,7.228258582383786,48.78661787760615,48.05864932171841,0.593004214665387,NA,02:00:00,Diego Garcia,Immature Basic 2,M,33,2022-02-11T02:00:00Z,72.43854898860614,-7.208284225514059,NA,NA,NA,NA,NA,NA,NA,6,2022-02-11T02:00:00Z,2022-02-11,2022-02-11T00:28:27Z,2022-02-11T14:23:17Z,day,NA,NA,NA,NA,TRUE,TRUE,first,1,NA,NA,NA,NA,NA,2375.29595869329,East Island_Diego Garcia,East Island_Diego Garcia,2022-02-10T22:00:00Z,2022-02-11T14:00:00Z,-7.218930631596176,72.42010628317138,8778.39235709089,"c(8063822.38721524, -804547.698103045)","c(8061769.35463739, -805742.306041106)",2375.29595869329
GY02215,2022,GY02215_2022_1,CPF,GY02215_2022_1,2022-02-11,0.424675971936927,0.200797564904868,6.946774448512443,6.915130290787999,45.29434739015369,43.939346802596205,0.46984909118705,NA,06:00:00,Diego Garcia,Immature Basic 2,M,33,2022-02-11T06:00:00Z,72.45380870532239,-7.2010785284378835,NA,NA,NA,NA,NA,NA,NA,7,2022-02-11T06:00:00Z,2022-02-11,2022-02-11T00:28:23Z,2022-02-11T14:23:13Z,day,NA,NA,NA,NA,TRUE,TRUE,NA,1,NA,NA,NA,NA,NA,4256.5978039296,East Island_Diego Garcia,East Island_Diego Garcia,2022-02-10T22:00:00Z,2022-02-11T14:00:00Z,-7.218930631596176,72.42010628317138,8778.39235709089,"c(8065521.09110974, -803739.17988328)","c(8061769.35463739, -805742.306041106)",4253.00375759683
GY02215,2022,GY02215_2022_1,CPF,GY02215_2022_1,2022-02-11,-0.043417871979308,-0.076829060575279,7.743404638031961,7.735367029123167,28.27826838891129,26.59139639522906,0.088321596307151,NA,10:00:00,Diego Garcia,Immature Basic 2,M,33,2022-02-11T10:00:00Z,72.45224858786294,-7.203835582199578,NA,NA,NA,NA,NA,NA,NA,8,2022-02-11T10:00:00Z,2022-02-11,2022-02-11T00:28:24Z,2022-02-11T14:23:13Z,day,NA,NA,NA,NA,TRUE,TRUE,last,1,NA,NA,NA,NA,NA,4611.36843389417,East Island_Diego Garcia,East Island_Diego Garcia,2022-02-10T22:00:00Z,2022-02-11T14:00:00Z,-7.218930631596176,72.42010628317138,8778.39235709089,"c(8065347.41962858, -804048.534722447)","c(8061769.35463739, -805742.306041106)",3958.71322036248
GY02215,2022,NA,NA,GY02215_2022_1,2022-02-11,-0.891023388975574,-0.536195866448511,6.356052241178831,6.062232387190824,4.190859352134209,3.688168039868911,1.040216217763587,NA,14:00:00,Diego Garcia,Immature Basic 2,M,33,2022-02-11T14:00:00Z,72.42023179077061,-7.2230767971967245,East Island_Diego Garcia,East Island,Diego Garcia,Diego Garcia,A,1113,1205,9,2022-02-11T14:00:00Z,2022-02-11,2022-02-11T00:28:30Z,2022-02-11T14:23:22Z,day,TRUE,single,5,GY02215_2022_5,FALSE,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,2022-02-10T05:18:00Z,NA,NA,NA,NA,NA,NA,NA,NA,"c(8061783.32607943, -806207.545039562)","c(8061783.32607943, -806207.545039562)",0
GY02215,2022,GY02215_2022_2,CPF,GY02215_2022_1,2022-02-11,0.096813267748424,2.010108380815115,5.672788091183543,5.647149437912545,6.344035427188954,6.301404175341453,0.601577026531705,NA,18:00:00,Diego Garcia,Immature Basic 2,M,33,2022-02-11T18:00:00Z,72.4059529397397,-7.206867739042002,NA,NA,NA,NA,NA,NA,NA,10,2022-02-11T18:00:00Z,2022-02-12,2022-02-12T00:28:50Z,2022-02-12T14:23:10Z,night,NA,NA,NA,NA,TRUE,TRUE,first,2,NA,NA,NA,NA,NA,2415.47851332598,East Island_Diego Garcia,East Island_Diego Garcia,2022-02-11T14:00:00Z,2022-02-19T02:00:00Z,-7.2230767971967245,72.42023179077061,1847415.94067171,"c(8060193.81165355, -804388.75963763)","c(8061783.32607943, -806207.545039562)",2415.47851332598
